B0:, R12, R2, R18, R20, R23, R6, R24, R8, R14, R7, R0, R15, R3, R13, R9, R16, R21, R4, R22, R19, R10, R17, R11, R5, R1, 
B16:, R8, R22, R24, R15, R11, R0, R14, R1, R21, R5, R7, R3, R16, R6, R2, R13, R4, R23, R18, R10, R20, R19, R12, R9, R17, 
B17:, R10, R3, R16, R23, R21, R15, R14, R24, R12, R5, R9, R19, R0, R1, R8, R4, R22, R17, R6, R13, R20, R7, R2, R18, R11, 
B18:, R2, R4, R20, R8, R10, R17, R19, R11, R9, R23, R3, R0, R21, R22, R24, R18, R16, R7, R15, R1, R6, R13, R5, R14, R12, 
B19:, R12, R24, R5, R15, R22, R1, R7, R0, R16, R20, R4, R6, R9, R2, R13, R18, R3, R21, R8, R14, R17, R11, R10, R23, R19, 
B20:, R14, R23, R6, R3, R20, R11, R22, R24, R10, R2, R16, R9, R21, R8, R7, R1, R15, R0, R12, R17, R5, R13, R18, R19, R4, 
B21:, R18, R9, R6, R8, R16, R5, R21, R22, R20, R3, R0, R1, R14, R10, R12, R23, R13, R19, R2, R15, R11, R24, R7, R17, R4, 
B22:, R11, R8, R10, R4, R5, R12, R6, R3, R24, R2, R21, R19, R7, R16, R14, R18, R20, R17, R15, R1, R0, R9, R22, R23, R13, 
B23:, R21, R19, R14, R16, R23, R9, R11, R22, R4, R24, R12, R20, R18, R0, R10, R17, R5, R13, R6, R8, R1, R7, R2, R3, R15, 
B24:, R10, R22, R17, R1, R8, R20, R21, R23, R15, R2, R4, R3, R14, R18, R0, R16, R9, R5, R11, R12, R24, R13, R19, R7, R6, 

R0:, B13, B6, B7, B23, B10, B4, B0, B5, B12, B11, B19, B18, B8, B16, B1, B17, B2, B21, B3, B14, B9, B22, B24, B15, B20, 
R1:, B17, B12, B8, B22, B13, B1, B23, B20, B16, B21, B18, B11, B3, B14, B0, B5, B2, B7, B9, B24, B6, B19, B4, B10, B15, 
R2:, B17, B13, B11, B5, B6, B19, B4, B10, B12, B21, B2, B20, B9, B0, B15, B3, B16, B8, B7, B1, B14, B18, B24, B22, B23, 
R3:, B22, B12, B19, B10, B2, B24, B9, B13, B17, B16, B18, B21, B1, B14, B4, B0, B20, B23, B8, B3, B6, B5, B11, B15, B7, 
R4:, B12, B8, B7, B9, B6, B22, B1, B15, B23, B3, B0, B20, B13, B16, B18, B19, B5, B11, B2, B14, B21, B4, B10, B24, B17, 
R5:, B6, B17, B23, B18, B16, B13, B9, B24, B22, B10, B21, B14, B0, B2, B19, B4, B8, B15, B7, B5, B12, B1, B20, B11, B3, 
R6:, B12, B2, B13, B23, B11, B19, B17, B14, B22, B3, B5, B7, B20, B8, B21, B16, B18, B9, B1, B10, B6, B4, B24, B15, B0, 
R7:, B23, B17, B21, B3, B10, B19, B4, B24, B14, B18, B9, B13, B12, B7, B20, B8, B15, B0, B6, B2, B5, B16, B11, B1, B22, 
R8:, B7, B10, B24, B17, B15, B19, B23, B13, B4, B1, B18, B9, B14, B12, B0, B2, B11, B20, B21, B22, B16, B8, B5, B6, B3, 
R9:, B18, B12, B10, B19, B2, B0, B7, B4, B16, B9, B17, B23, B15, B22, B5, B3, B13, B6, B14, B20, B1, B11, B8, B21, B24, 
R10:, B11, B8, B12, B10, B23, B17, B13, B0, B4, B7, B21, B16, B15, B24, B18, B5, B6, B3, B14, B1, B20, B2, B19, B22, B9, 
R11:, B4, B1, B20, B8, B6, B5, B21, B13, B14, B22, B16, B0, B2, B10, B3, B7, B23, B11, B15, B18, B17, B12, B24, B9, B19, 
R12:, B24, B13, B14, B10, B1, B7, B2, B19, B18, B9, B15, B23, B5, B17, B16, B6, B22, B21, B4, B12, B11, B8, B3, B0, B20, 
R13:, B24, B21, B11, B9, B2, B3, B0, B16, B19, B6, B10, B4, B15, B12, B13, B18, B5, B20, B23, B7, B8, B17, B22, B1, B14, 
R14:, B2, B1, B20, B18, B4, B22, B13, B17, B14, B12, B9, B6, B7, B5, B8, B11, B3, B24, B0, B21, B10, B23, B15, B19, B16, 
R15:, B10, B20, B3, B5, B6, B4, B16, B24, B9, B17, B22, B0, B18, B11, B15, B21, B7, B12, B14, B23, B19, B1, B13, B2, B8, 
R16:, B16, B20, B4, B8, B15, B17, B7, B5, B1, B18, B24, B21, B2, B9, B13, B3, B12, B23, B11, B19, B0, B14, B10, B22, B6, 
R17:, B18, B5, B23, B2, B0, B20, B12, B6, B1, B7, B4, B9, B14, B10, B22, B16, B8, B3, B13, B15, B17, B11, B21, B24, B19, 
R18:, B9, B14, B24, B21, B16, B13, B19, B23, B8, B3, B1, B15, B12, B0, B4, B7, B20, B10, B11, B17, B2, B18, B5, B22, B6, 
R19:, B18, B7, B6, B15, B9, B3, B24, B19, B4, B5, B2, B8, B1, B16, B23, B0, B17, B21, B12, B22, B10, B13, B20, B14, B11, 
R20:, B21, B1, B14, B4, B2, B5, B20, B10, B16, B22, B18, B8, B0, B23, B15, B13, B6, B24, B17, B7, B3, B12, B9, B11, B19, 
R21:, B5, B16, B15, B8, B9, B3, B2, B22, B23, B10, B14, B0, B11, B4, B21, B18, B17, B19, B12, B13, B7, B1, B20, B6, B24, 
R22:, B17, B24, B1, B18, B12, B0, B19, B6, B16, B7, B3, B9, B21, B20, B22, B10, B4, B23, B5, B11, B2, B8, B15, B14, B13, 
R23:, B12, B1, B18, B9, B21, B2, B17, B22, B23, B20, B15, B4, B19, B8, B14, B11, B7, B10, B0, B5, B6, B24, B16, B3, B13, 
R24:, B13, B24, B17, B19, B3, B10, B5, B14, B12, B6, B1, B11, B16, B4, B2, B23, B8, B22, B18, B15, B0, B20, B21, B7, B9, 
