B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
B11:, R80, R39, R57, R93, R76, R83, R45, R79, R71, R42, R21, R84, R55, R53, R26, R73, R66, R40, R37, R29, R31, R61, R47, R24, R18, R34, R78, R52, R77, R23, R97, R28, R51, R3, R9, R13, R38, R88, R2, R59, R72, R22, R5, R70, R95, R1, R89, R67, R30, R87, R16, R46, R94, R41, R64, R96, R0, R6, R98, R36, R8, R91, R85, R48, R75, R81, R99, R65, R82, R74, R17, R4, R49, R50, R92, R7, R69, R27, R56, R63, R68, R32, R44, R60, R54, R86, R58, R35, R25, R11, R10, R19, R33, R43, R20, R90, R14, R12, R62, R15, 
B12:, R57, R48, R79, R58, R27, R42, R75, R22, R87, R32, R14, R64, R47, R54, R46, R1, R21, R17, R38, R69, R13, R68, R35, R3, R33, R4, R10, R26, R95, R89, R34, R74, R52, R44, R65, R60, R83, R41, R28, R67, R51, R59, R8, R61, R31, R55, R11, R93, R97, R78, R50, R94, R91, R29, R84, R16, R56, R0, R45, R2, R39, R9, R72, R62, R7, R77, R71, R40, R99, R20, R73, R15, R53, R76, R92, R66, R88, R96, R24, R37, R30, R80, R18, R19, R49, R63, R85, R5, R82, R6, R25, R36, R90, R12, R81, R86, R23, R43, R70, R98, 
B13:, R16, R82, R4, R58, R3, R47, R56, R7, R21, R51, R41, R20, R86, R2, R44, R71, R85, R89, R87, R83, R61, R73, R74, R23, R88, R43, R60, R66, R24, R46, R63, R12, R93, R29, R18, R6, R95, R38, R53, R67, R64, R54, R70, R26, R80, R97, R81, R69, R15, R11, R27, R48, R10, R52, R99, R9, R79, R84, R98, R17, R78, R22, R55, R57, R8, R90, R68, R94, R34, R76, R45, R96, R32, R77, R37, R59, R35, R30, R14, R0, R28, R92, R42, R39, R72, R33, R31, R65, R5, R50, R62, R40, R91, R25, R36, R75, R1, R13, R19, R49, 
B14:, R46, R7, R37, R31, R51, R25, R71, R81, R43, R6, R8, R38, R88, R57, R52, R24, R3, R69, R20, R32, R55, R12, R68, R0, R63, R21, R89, R23, R56, R10, R5, R67, R40, R78, R54, R19, R18, R95, R60, R1, R96, R34, R13, R15, R62, R9, R85, R53, R93, R74, R49, R59, R87, R30, R35, R82, R48, R80, R58, R29, R94, R99, R79, R39, R28, R36, R75, R41, R98, R65, R61, R76, R17, R42, R83, R50, R45, R4, R66, R77, R64, R86, R27, R11, R91, R26, R33, R72, R14, R22, R47, R70, R73, R16, R97, R90, R44, R92, R84, R2, 
B15:, R92, R4, R41, R66, R82, R34, R83, R23, R50, R51, R15, R88, R2, R17, R22, R77, R61, R96, R70, R0, R69, R57, R36, R35, R59, R14, R44, R9, R75, R31, R18, R1, R91, R29, R11, R76, R81, R87, R53, R8, R54, R21, R39, R94, R37, R30, R56, R95, R72, R19, R3, R49, R38, R7, R43, R90, R84, R86, R25, R97, R33, R40, R26, R62, R63, R79, R74, R71, R16, R89, R80, R58, R60, R47, R10, R64, R42, R67, R13, R12, R68, R27, R48, R5, R99, R93, R45, R78, R20, R24, R73, R46, R6, R98, R28, R32, R65, R52, R85, R55, 
B16:, R12, R46, R23, R27, R71, R32, R39, R20, R55, R86, R97, R50, R19, R79, R26, R31, R22, R8, R85, R28, R47, R2, R82, R18, R49, R94, R91, R67, R93, R44, R92, R65, R70, R17, R5, R62, R88, R7, R99, R53, R21, R87, R36, R45, R57, R38, R83, R54, R75, R68, R64, R14, R76, R69, R60, R4, R9, R24, R78, R56, R34, R96, R1, R59, R72, R10, R3, R73, R40, R84, R0, R41, R58, R37, R74, R90, R66, R52, R95, R35, R15, R51, R89, R13, R11, R30, R81, R6, R25, R63, R77, R48, R33, R61, R42, R98, R29, R16, R43, R80, 
B17:, R29, R57, R78, R37, R24, R91, R31, R93, R35, R70, R23, R95, R2, R98, R75, R86, R43, R45, R27, R22, R85, R55, R15, R17, R94, R66, R5, R89, R47, R46, R7, R44, R18, R71, R64, R51, R3, R6, R83, R10, R90, R92, R81, R82, R36, R67, R97, R41, R39, R76, R60, R1, R53, R65, R13, R48, R4, R32, R63, R14, R19, R96, R77, R50, R54, R28, R99, R62, R16, R12, R56, R9, R69, R33, R87, R68, R59, R11, R42, R21, R30, R74, R20, R26, R73, R58, R34, R61, R80, R49, R25, R38, R52, R8, R40, R88, R79, R0, R84, R72, 
B18:, R75, R24, R59, R39, R46, R8, R60, R7, R9, R65, R22, R49, R30, R12, R20, R90, R26, R19, R48, R14, R71, R35, R89, R3, R69, R53, R86, R51, R32, R0, R37, R17, R85, R52, R25, R21, R83, R92, R36, R94, R41, R99, R81, R31, R79, R42, R50, R78, R27, R57, R23, R93, R47, R95, R76, R77, R96, R74, R98, R34, R66, R11, R2, R13, R72, R67, R80, R28, R5, R1, R10, R87, R54, R97, R56, R63, R62, R55, R16, R68, R45, R44, R4, R88, R70, R38, R15, R18, R58, R6, R40, R29, R64, R43, R82, R61, R84, R73, R33, R91, 
B19:, R40, R78, R27, R21, R73, R0, R60, R67, R1, R48, R37, R23, R61, R79, R63, R91, R84, R64, R72, R45, R12, R70, R76, R96, R41, R32, R62, R17, R82, R19, R58, R92, R55, R50, R29, R7, R13, R4, R98, R87, R85, R53, R46, R28, R20, R14, R68, R18, R47, R42, R71, R2, R88, R65, R39, R97, R30, R16, R86, R74, R54, R6, R8, R80, R93, R77, R83, R99, R66, R69, R44, R57, R51, R56, R43, R11, R75, R52, R94, R34, R24, R31, R33, R95, R3, R59, R36, R49, R26, R25, R10, R15, R22, R35, R89, R81, R38, R5, R9, R90, 
B20:, R11, R89, R78, R5, R69, R79, R76, R28, R48, R99, R9, R88, R84, R52, R44, R13, R15, R77, R64, R17, R94, R36, R31, R4, R47, R35, R23, R90, R32, R54, R55, R46, R75, R68, R87, R0, R37, R41, R86, R21, R8, R62, R38, R60, R96, R97, R19, R70, R27, R66, R12, R53, R45, R7, R43, R73, R51, R1, R18, R98, R30, R39, R26, R80, R74, R42, R14, R81, R72, R65, R20, R16, R40, R33, R22, R59, R85, R57, R50, R71, R58, R49, R91, R83, R61, R56, R29, R63, R25, R92, R82, R3, R95, R10, R2, R67, R24, R34, R6, R93, 
B21:, R45, R81, R31, R46, R43, R14, R98, R68, R97, R69, R15, R4, R24, R29, R8, R66, R91, R77, R19, R93, R92, R96, R42, R72, R21, R88, R65, R87, R63, R11, R5, R57, R99, R2, R90, R0, R22, R50, R94, R54, R36, R40, R70, R39, R25, R79, R32, R73, R49, R60, R35, R3, R64, R56, R76, R95, R84, R20, R13, R58, R61, R48, R59, R85, R55, R30, R33, R34, R53, R41, R67, R80, R10, R86, R9, R89, R83, R52, R71, R27, R78, R38, R82, R26, R47, R37, R6, R1, R17, R7, R12, R44, R62, R74, R75, R23, R28, R51, R18, R16, 
B22:, R14, R21, R90, R44, R34, R68, R67, R17, R62, R35, R59, R39, R98, R10, R20, R55, R3, R73, R47, R40, R30, R85, R54, R52, R26, R5, R87, R19, R28, R11, R97, R95, R32, R83, R99, R33, R60, R2, R41, R88, R70, R8, R64, R42, R45, R22, R4, R94, R63, R27, R72, R46, R74, R53, R58, R49, R77, R86, R15, R7, R50, R37, R79, R43, R9, R36, R81, R51, R96, R38, R80, R92, R25, R65, R78, R91, R31, R57, R12, R6, R82, R84, R23, R76, R75, R13, R29, R93, R1, R0, R61, R18, R24, R69, R16, R71, R89, R48, R66, R56, 
B23:, R96, R17, R1, R85, R64, R45, R5, R89, R37, R34, R56, R88, R46, R93, R36, R6, R22, R80, R83, R78, R92, R40, R19, R27, R90, R35, R26, R50, R60, R86, R38, R14, R11, R77, R13, R81, R68, R87, R29, R47, R0, R3, R48, R4, R75, R41, R23, R9, R52, R42, R84, R98, R97, R44, R31, R73, R70, R55, R95, R69, R16, R21, R82, R67, R28, R72, R15, R32, R49, R18, R76, R10, R7, R39, R71, R94, R59, R54, R43, R8, R66, R20, R53, R57, R24, R99, R74, R33, R63, R58, R79, R2, R61, R25, R62, R12, R65, R30, R51, R91, 
B24:, R51, R87, R69, R14, R49, R52, R28, R21, R89, R88, R40, R94, R41, R75, R86, R61, R80, R30, R16, R0, R93, R1, R33, R39, R50, R83, R17, R84, R95, R43, R19, R11, R73, R67, R97, R99, R24, R71, R57, R10, R70, R36, R72, R18, R2, R44, R27, R13, R5, R55, R12, R6, R66, R29, R74, R32, R38, R45, R58, R8, R81, R54, R96, R60, R91, R59, R65, R90, R23, R68, R35, R20, R9, R78, R3, R48, R56, R46, R62, R4, R47, R22, R92, R85, R42, R31, R15, R76, R25, R98, R53, R82, R34, R64, R7, R79, R63, R26, R77, R37, 
B25:, R95, R36, R6, R47, R50, R44, R92, R27, R82, R96, R69, R24, R46, R37, R49, R99, R12, R26, R48, R63, R53, R23, R21, R28, R34, R93, R25, R79, R41, R77, R83, R19, R13, R8, R1, R87, R32, R58, R78, R67, R2, R52, R10, R51, R97, R55, R68, R11, R39, R18, R73, R57, R22, R15, R20, R89, R30, R61, R85, R94, R62, R56, R60, R59, R70, R29, R54, R7, R80, R45, R84, R86, R65, R14, R0, R31, R5, R71, R98, R4, R75, R35, R42, R76, R43, R88, R38, R16, R66, R9, R74, R81, R17, R40, R72, R3, R64, R90, R33, R91, 
B26:, R54, R12, R90, R66, R72, R31, R19, R25, R81, R99, R14, R74, R68, R46, R98, R43, R24, R83, R32, R70, R29, R59, R49, R84, R51, R55, R3, R30, R33, R89, R13, R9, R60, R88, R5, R80, R75, R62, R85, R48, R7, R17, R26, R92, R76, R78, R10, R67, R45, R39, R2, R73, R1, R21, R34, R65, R41, R64, R18, R52, R95, R22, R4, R96, R61, R35, R38, R57, R23, R56, R93, R71, R20, R16, R69, R63, R94, R42, R27, R15, R50, R40, R6, R79, R0, R97, R44, R53, R47, R77, R58, R86, R82, R36, R28, R11, R37, R8, R87, R91, 
B27:, R9, R82, R41, R61, R89, R57, R15, R39, R35, R6, R56, R75, R59, R37, R2, R38, R86, R84, R68, R45, R30, R28, R7, R36, R4, R83, R27, R67, R54, R18, R42, R69, R85, R76, R33, R13, R52, R19, R25, R98, R78, R22, R62, R80, R87, R8, R88, R97, R73, R26, R95, R46, R48, R29, R96, R32, R17, R91, R58, R94, R1, R11, R34, R70, R53, R14, R44, R92, R51, R77, R90, R81, R65, R64, R40, R12, R47, R71, R43, R0, R79, R20, R24, R16, R63, R99, R55, R72, R66, R50, R5, R31, R10, R21, R3, R49, R23, R74, R60, R93, 
B28:, R19, R26, R10, R37, R35, R55, R96, R67, R13, R75, R21, R16, R12, R3, R93, R62, R41, R54, R28, R11, R23, R32, R31, R29, R72, R84, R25, R89, R7, R83, R9, R4, R20, R5, R81, R44, R39, R99, R2, R14, R73, R15, R98, R74, R43, R68, R52, R82, R45, R22, R64, R71, R91, R61, R42, R63, R60, R30, R51, R56, R47, R94, R17, R79, R8, R57, R18, R65, R78, R97, R0, R87, R58, R53, R1, R86, R90, R95, R33, R49, R70, R66, R24, R34, R36, R88, R50, R92, R80, R77, R46, R85, R76, R40, R38, R69, R59, R48, R27, R6, 
B29:, R74, R70, R34, R41, R16, R87, R30, R61, R59, R12, R7, R29, R82, R49, R50, R68, R77, R38, R86, R98, R94, R24, R51, R45, R66, R9, R91, R92, R99, R44, R42, R88, R2, R8, R55, R4, R73, R79, R1, R80, R27, R26, R22, R72, R17, R3, R35, R83, R36, R93, R39, R5, R6, R21, R57, R48, R0, R95, R63, R10, R76, R54, R96, R89, R46, R13, R37, R15, R58, R18, R20, R25, R78, R62, R71, R53, R40, R33, R64, R52, R47, R67, R43, R65, R31, R90, R56, R28, R81, R14, R97, R60, R23, R32, R84, R11, R75, R69, R19, R85, 
B30:, R56, R11, R15, R22, R83, R32, R81, R10, R54, R2, R7, R43, R36, R82, R57, R26, R3, R93, R20, R97, R27, R18, R19, R5, R14, R16, R98, R59, R8, R50, R37, R34, R61, R92, R76, R96, R48, R17, R69, R87, R74, R66, R65, R30, R64, R41, R42, R28, R58, R45, R70, R88, R71, R51, R86, R29, R68, R44, R84, R80, R9, R60, R46, R72, R4, R47, R53, R94, R21, R78, R35, R85, R0, R23, R90, R95, R39, R13, R1, R38, R67, R40, R77, R24, R31, R6, R12, R25, R79, R75, R52, R91, R62, R63, R55, R89, R99, R73, R33, R49, 
B31:, R58, R76, R1, R65, R27, R64, R34, R97, R61, R41, R52, R63, R96, R53, R23, R25, R92, R2, R29, R88, R24, R15, R51, R40, R32, R59, R77, R3, R0, R50, R8, R30, R66, R99, R9, R55, R91, R94, R43, R95, R93, R20, R10, R74, R84, R70, R18, R69, R14, R85, R57, R80, R19, R48, R49, R56, R68, R83, R47, R36, R87, R6, R39, R71, R31, R5, R54, R72, R16, R62, R7, R82, R11, R28, R86, R33, R22, R45, R73, R98, R78, R12, R38, R60, R37, R17, R46, R21, R13, R26, R44, R75, R67, R35, R90, R89, R79, R42, R4, R81, 
B32:, R47, R61, R91, R54, R4, R22, R15, R43, R53, R29, R51, R66, R74, R46, R56, R89, R97, R98, R70, R45, R16, R37, R18, R44, R38, R0, R49, R60, R90, R78, R85, R27, R71, R17, R52, R39, R32, R57, R77, R55, R40, R26, R79, R42, R67, R59, R75, R69, R12, R21, R6, R80, R73, R48, R81, R63, R14, R87, R1, R64, R34, R23, R2, R31, R99, R83, R10, R5, R72, R82, R3, R62, R20, R30, R68, R58, R88, R65, R94, R11, R35, R41, R8, R33, R92, R9, R50, R13, R24, R95, R86, R93, R7, R76, R36, R84, R25, R28, R96, R19, 
B33:, R5, R74, R19, R89, R75, R50, R91, R43, R60, R85, R4, R36, R99, R96, R41, R44, R83, R59, R20, R81, R26, R80, R55, R42, R40, R6, R79, R25, R87, R18, R64, R56, R76, R14, R46, R62, R57, R94, R72, R17, R61, R86, R37, R92, R49, R22, R11, R52, R21, R88, R29, R15, R54, R0, R63, R47, R35, R30, R70, R90, R1, R77, R39, R45, R23, R33, R66, R34, R69, R7, R24, R73, R32, R67, R95, R58, R16, R93, R12, R13, R82, R27, R71, R97, R31, R9, R8, R38, R48, R51, R65, R28, R84, R10, R78, R53, R3, R98, R2, R68, 
B34:, R77, R59, R53, R81, R83, R80, R52, R4, R68, R34, R16, R32, R91, R82, R49, R72, R14, R94, R26, R11, R64, R42, R36, R92, R66, R99, R89, R95, R24, R19, R57, R63, R74, R39, R67, R2, R45, R62, R79, R40, R88, R86, R50, R87, R56, R76, R65, R8, R17, R25, R18, R48, R3, R84, R22, R43, R69, R41, R98, R23, R70, R0, R6, R30, R31, R9, R13, R7, R90, R58, R10, R96, R97, R35, R27, R55, R78, R46, R85, R20, R21, R33, R5, R75, R93, R71, R37, R47, R28, R1, R12, R60, R61, R15, R29, R44, R73, R51, R54, R38, 
B35:, R57, R90, R58, R16, R93, R28, R74, R52, R34, R21, R50, R64, R1, R7, R49, R13, R63, R94, R48, R43, R54, R40, R41, R12, R42, R62, R29, R77, R47, R36, R27, R15, R14, R81, R76, R0, R38, R25, R44, R65, R80, R78, R83, R3, R51, R69, R33, R46, R24, R55, R17, R95, R84, R99, R31, R89, R61, R91, R4, R56, R18, R8, R73, R2, R71, R35, R6, R88, R23, R75, R39, R66, R86, R26, R98, R59, R20, R11, R72, R67, R53, R32, R87, R79, R30, R68, R5, R92, R96, R82, R9, R10, R85, R45, R19, R97, R37, R22, R60, R70, 
B36:, R9, R81, R38, R35, R45, R19, R59, R89, R14, R17, R86, R27, R2, R47, R56, R52, R96, R8, R1, R80, R25, R87, R69, R70, R64, R23, R62, R83, R28, R30, R49, R71, R21, R66, R24, R51, R74, R91, R29, R6, R36, R13, R79, R41, R7, R85, R18, R4, R99, R48, R3, R16, R95, R88, R58, R12, R84, R93, R54, R75, R37, R67, R34, R32, R65, R53, R26, R73, R78, R43, R68, R46, R97, R63, R82, R50, R76, R60, R22, R39, R5, R20, R57, R77, R90, R72, R0, R44, R61, R42, R40, R10, R33, R92, R55, R11, R15, R31, R98, R94, 
B37:, R48, R86, R58, R13, R65, R21, R46, R52, R69, R79, R73, R24, R17, R96, R20, R41, R66, R26, R78, R47, R35, R50, R4, R99, R54, R23, R82, R2, R55, R81, R83, R56, R94, R43, R70, R7, R57, R90, R87, R1, R3, R53, R12, R31, R10, R25, R93, R71, R67, R72, R37, R68, R92, R64, R80, R89, R98, R5, R61, R36, R18, R45, R32, R29, R77, R75, R22, R76, R44, R85, R16, R63, R27, R11, R62, R9, R38, R28, R15, R51, R34, R39, R97, R88, R33, R74, R49, R60, R42, R40, R59, R30, R84, R95, R6, R14, R19, R0, R91, R8, 
B38:, R54, R0, R35, R78, R15, R80, R88, R62, R92, R77, R6, R3, R24, R1, R18, R90, R40, R97, R84, R71, R83, R70, R26, R36, R47, R30, R45, R94, R55, R50, R49, R8, R37, R61, R17, R75, R29, R56, R65, R87, R60, R73, R32, R12, R39, R52, R14, R28, R74, R53, R25, R48, R19, R46, R41, R20, R7, R43, R93, R85, R11, R23, R96, R89, R16, R44, R64, R76, R13, R38, R81, R79, R86, R9, R58, R67, R82, R91, R27, R69, R31, R98, R4, R72, R34, R22, R99, R33, R42, R5, R68, R21, R57, R10, R63, R51, R66, R59, R2, R95, 
B39:, R62, R56, R32, R52, R3, R83, R35, R11, R72, R66, R30, R88, R67, R10, R0, R76, R71, R20, R13, R26, R98, R64, R68, R38, R39, R63, R15, R91, R34, R51, R31, R65, R80, R96, R42, R1, R16, R43, R37, R33, R47, R21, R70, R90, R50, R24, R44, R74, R75, R60, R45, R81, R53, R36, R84, R12, R95, R5, R87, R55, R99, R7, R2, R48, R14, R58, R25, R61, R77, R19, R9, R40, R69, R73, R18, R82, R22, R78, R86, R54, R46, R49, R85, R8, R93, R94, R6, R23, R79, R97, R28, R57, R59, R29, R17, R89, R4, R27, R92, R41, 
B40:, R45, R95, R84, R70, R52, R68, R9, R43, R1, R81, R57, R13, R85, R55, R63, R27, R60, R21, R35, R15, R50, R12, R44, R99, R71, R54, R18, R42, R4, R2, R6, R53, R91, R65, R98, R76, R67, R78, R25, R8, R0, R30, R20, R38, R74, R88, R89, R22, R32, R17, R7, R61, R97, R94, R34, R51, R39, R40, R16, R73, R23, R41, R72, R82, R56, R14, R75, R80, R11, R92, R37, R24, R69, R59, R87, R64, R33, R28, R29, R48, R10, R66, R47, R46, R77, R19, R79, R62, R86, R31, R58, R5, R96, R3, R26, R83, R90, R36, R49, R93, 
B41:, R93, R52, R45, R73, R42, R5, R10, R50, R60, R44, R95, R41, R39, R31, R69, R71, R86, R20, R57, R35, R66, R18, R61, R43, R67, R29, R11, R0, R91, R26, R33, R76, R63, R85, R99, R30, R25, R68, R13, R36, R12, R22, R19, R54, R38, R28, R8, R34, R90, R55, R48, R2, R65, R98, R21, R7, R58, R37, R40, R47, R51, R83, R78, R16, R53, R32, R70, R97, R46, R1, R79, R94, R4, R17, R74, R6, R75, R56, R59, R84, R82, R88, R23, R87, R3, R96, R27, R72, R14, R80, R62, R49, R81, R89, R77, R15, R64, R24, R9, R92, 
B42:, R56, R1, R27, R19, R67, R10, R26, R16, R99, R24, R62, R90, R29, R6, R68, R20, R46, R52, R5, R76, R73, R92, R47, R38, R50, R58, R2, R83, R66, R23, R39, R7, R98, R48, R17, R49, R91, R71, R69, R4, R97, R15, R32, R42, R9, R88, R57, R25, R51, R41, R18, R54, R45, R8, R59, R43, R44, R87, R86, R85, R36, R11, R13, R95, R37, R3, R12, R21, R79, R34, R31, R22, R82, R78, R72, R28, R40, R84, R30, R80, R33, R63, R53, R74, R77, R0, R60, R96, R55, R14, R64, R35, R70, R94, R89, R93, R81, R61, R65, R75, 
B43:, R91, R4, R12, R9, R55, R74, R62, R67, R71, R96, R25, R18, R79, R20, R86, R73, R2, R27, R36, R8, R30, R83, R93, R21, R53, R68, R6, R78, R59, R98, R84, R29, R89, R64, R82, R80, R0, R17, R15, R97, R99, R70, R37, R42, R47, R46, R10, R16, R94, R40, R7, R85, R22, R92, R44, R51, R33, R63, R48, R76, R1, R75, R65, R81, R56, R31, R66, R14, R23, R13, R57, R95, R28, R52, R50, R26, R58, R45, R3, R72, R34, R19, R38, R88, R61, R24, R69, R90, R32, R11, R54, R5, R35, R77, R60, R39, R43, R87, R49, R41, 
